booking_id,date,client_id,supplier_id,booking_value,margin,payment_delay_days,is_late_payment
BK_00123,2025-01-29,CLI_038,SUP_009,173535.83,0.1946,5,0
BK_00124,2025-01-29,CLI_034,SUP_015,141119.83,0.117,18,1
BK_00125,2025-01-29,CLI_043,SUP_001,43345.48,0.1155,15,0
BK_00126,2025-01-29,CLI_041,SUP_004,171533.53,0.1255,20,1
BK_00127,2025-01-29,CLI_013,SUP_008,67105.19,0.1145,0,0
BK_00128,2025-01-29,CLI_020,SUP_015,54464.45,0.0978,22,1
BK_00129,2025-01-29,CLI_037,SUP_007,21957.19,0.1891,10,0
BK_00130,2025-01-29,CLI_035,SUP_018,63699.43,0.139,0,0
BK_00131,2025-01-30,CLI_050,SUP_003,24862.53,0.148,13,0
BK_00132,2025-01-31,CLI_025,SUP_013,61618.41,0.1628,20,1
BK_00133,2025-02-01,CLI_007,SUP_007,66862.74,0.188,18,1
BK_00134,2025-02-01,CLI_032,SUP_013,218582.71,0.1669,25,1
BK_00135,2025-02-01,CLI_041,SUP_007,107086.68,0.1533,5,0
BK_00136,2025-02-01,CLI_022,SUP_015,194394.19,0.1738,12,0
BK_00137,2025-02-02,CLI_030,SUP_012,109070.28,0.1335,2,0
BK_00138,2025-02-03,CLI_016,SUP_010,64152.13,0.086,28,1
BK_00139,2025-02-03,CLI_007,SUP_004,88206.52,0.1666,15,0
BK_00140,2025-02-03,CLI_032,SUP_002,149245.21,0.089,34,1
BK_00141,2025-02-04,CLI_048,SUP_011,80506.79,0.184,14,0
BK_00142,2025-02-04,CLI_006,SUP_006,222735.5,0.1,8,0
BK_00143,2025-02-04,CLI_019,SUP_010,148631.15,0.1051,19,1
BK_00144,2025-02-04,CLI_028,SUP_008,20112.11,0.0977,13,0
BK_00145,2025-02-04,CLI_034,SUP_002,104937.15,0.1297,19,1
BK_00146,2025-02-05,CLI_015,SUP_015,154098.09,0.099,26,1
BK_00147,2025-02-05,CLI_021,SUP_006,33033.55,0.108,4,0
BK_00148,2025-02-05,CLI_036,SUP_014,89938.82,0.1289,16,1
BK_00149,2025-02-05,CLI_019,SUP_020,50922.43,0.1773,20,1
BK_00150,2025-02-06,CLI_041,SUP_016,72728.09,0.0839,14,0
BK_00151,2025-02-06,CLI_038,SUP_010,110828.44,0.1873,15,0
BK_00152,2025-02-06,CLI_002,SUP_019,77357.6,0.12,13,0
BK_00153,2025-02-06,CLI_036,SUP_016,79946.58,0.1166,10,0
BK_00154,2025-02-06,CLI_015,SUP_016,19095.56,0.1767,16,1
BK_00155,2025-02-06,CLI_009,SUP_013,131978.78,0.1031,18,1
BK_00156,2025-02-07,CLI_006,SUP_006,198446.67,0.1195,0,0
BK_00157,2025-02-07,CLI_008,SUP_018,89281.46,0.1278,16,1
BK_00158,2025-02-07,CLI_032,SUP_005,155873.6,0.1644,21,1
BK_00159,2025-02-08,CLI_031,SUP_007,53361.95,0.109,17,1
BK_00160,2025-02-08,CLI_003,SUP_015,112665.91,0.08,9,0
BK_00161,2025-02-08,CLI_034,SUP_010,93118.81,0.1726,22,1
BK_00162,2025-02-08,CLI_025,SUP_012,132848.49,0.1302,20,1
BK_00163,2025-02-08,CLI_049,SUP_017,31805.23,0.1857,0,0
BK_00164,2025-02-08,CLI_050,SUP_009,151110.82,0.1698,8,0
BK_00165,2025-02-09,CLI_004,SUP_015,113545.12,0.1301,6,0
BK_00166,2025-02-09,CLI_036,SUP_009,103325.87,0.1526,20,1
BK_00167,2025-02-09,CLI_015,SUP_007,223857.42,0.1304,15,0
BK_00168,2025-02-09,CLI_043,SUP_011,126612.04,0.1846,24,1
BK_00169,2025-02-09,CLI_018,SUP_011,132516.94,0.0832,2,0
BK_00170,2025-02-09,CLI_006,SUP_020,136428.26,0.1398,7,0
BK_00171,2025-02-09,CLI_008,SUP_001,90576.93,0.1941,18,1
BK_00172,2025-02-10,CLI_048,SUP_018,76591.7,0.1523,17,1
BK_00173,2025-02-10,CLI_042,SUP_003,99310.27,0.1723,16,1
BK_00174,2025-02-10,CLI_031,SUP_011,87681.37,0.1755,14,0
BK_00175,2025-02-10,CLI_029,SUP_002,70852.02,0.1197,17,1
BK_00176,2025-02-10,CLI_043,SUP_016,184053.72,0.1244,20,1
BK_00177,2025-02-10,CLI_036,SUP_001,122781.32,0.175,25,1
BK_00178,2025-02-11,CLI_015,SUP_009,214306.72,0.1733,22,1
BK_00179,2025-02-11,CLI_003,SUP_010,106427.45,0.1605,8,0
BK_00180,2025-02-13,CLI_031,SUP_015,16172.91,0.1273,16,1
BK_00181,2025-02-13,CLI_028,SUP_001,111760.9,0.1649,27,1
BK_00182,2025-02-13,CLI_020,SUP_013,48998.08,0.1099,20,1
BK_00183,2025-02-13,CLI_005,SUP_019,99177.5,0.1048,0,0
BK_00184,2025-02-14,CLI_041,SUP_015,29677.28,0.1568,3,0
BK_00185,2025-02-14,CLI_040,SUP_006,46337.31,0.1594,3,0
BK_00186,2025-02-14,CLI_030,SUP_017,132510.72,0.1599,4,0
BK_00187,2025-02-14,CLI_003,SUP_011,61812.5,0.0822,12,0
BK_00188,2025-02-14,CLI_047,SUP_013,117790.68,0.1829,16,1
BK_00189,2025-02-14,CLI_008,SUP_017,93707.54,0.1388,20,1
BK_00190,2025-02-14,CLI_009,SUP_007,95194.85,0.1643,12,0
BK_00191,2025-02-15,CLI_032,SUP_005,17210.47,0.1988,29,1
BK_00192,2025-02-15,CLI_033,SUP_009,65907.95,0.1021,18,1
BK_00193,2025-02-15,CLI_044,SUP_012,131515.02,0.1557,18,1
BK_00194,2025-02-15,CLI_049,SUP_008,95620.72,0.1735,6,0
BK_00195,2025-02-15,CLI_009,SUP_006,36713.33,0.1463,12,0
BK_00196,2025-02-15,CLI_047,SUP_011,80451.97,0.1358,11,0
BK_00197,2025-02-15,CLI_027,SUP_003,102835.46,0.1471,10,0
BK_00198,2025-02-16,CLI_049,SUP_004,74647.85,0.1892,1,0
BK_00199,2025-02-16,CLI_046,SUP_001,109969.96,0.1841,8,0
BK_00200,2025-02-16,CLI_024,SUP_001,35721.97,0.1255,0,0
BK_00201,2025-02-16,CLI_012,SUP_019,113944.06,0.1064,1,0
BK_00202,2025-02-16,CLI_004,SUP_002,30028.5,0.191,2,0
BK_00203,2025-02-17,CLI_023,SUP_010,55986.67,0.0998,0,0
BK_00204,2025-02-17,CLI_015,SUP_007,16851.11,0.1659,23,1
BK_00205,2025-02-17,CLI_049,SUP_007,75991.54,0.1842,4,0
BK_00206,2025-02-17,CLI_021,SUP_010,34528.33,0.1629,6,0
BK_00207,2025-02-17,CLI_031,SUP_009,145239.23,0.1894,18,1
BK_00208,2025-02-18,CLI_015,SUP_016,129769.72,0.1407,18,1
BK_00209,2025-02-18,CLI_016,SUP_003,50360.91,0.1721,20,1
BK_00210,2025-02-18,CLI_013,SUP_010,39596.03,0.1444,14,0
BK_00211,2025-02-19,CLI_047,SUP_012,21800.91,0.1544,18,1
BK_00212,2025-02-20,CLI_025,SUP_013,94904.09,0.1706,17,1
BK_00213,2025-02-20,CLI_014,SUP_002,204137.88,0.1484,22,1
BK_00214,2025-02-20,CLI_032,SUP_018,44880.11,0.165,22,1
BK_00215,2025-02-20,CLI_011,SUP_017,72513.08,0.1517,12,0
BK_00216,2025-02-20,CLI_009,SUP_020,73359.03,0.1857,16,1
BK_00217,2025-02-21,CLI_037,SUP_001,136712.34,0.1843,11,0
BK_00218,2025-02-21,CLI_012,SUP_010,56931.25,0.085,8,0
BK_00219,2025-02-21,CLI_005,SUP_013,142453.68,0.1478,1,0
BK_00220,2025-02-21,CLI_012,SUP_013,22282.75,0.1806,10,0
BK_00221,2025-02-21,CLI_005,SUP_008,202279.03,0.1897,5,0
BK_00222,2025-02-22,CLI_010,SUP_005,53596.79,0.0945,0,0
BK_00223,2025-02-23,CLI_010,SUP_016,143820.64,0.1417,0,0
BK_00224,2025-02-23,CLI_029,SUP_001,118033.53,0.1903,16,1
BK_00225,2025-02-23,CLI_046,SUP_018,40336.13,0.1004,6,0
BK_00226,2025-02-23,CLI_049,SUP_019,118033.09,0.1421,5,0
BK_00227,2025-02-24,CLI_007,SUP_001,218154.34,0.1984,4,0
BK_00228,2025-02-24,CLI_049,SUP_001,149074.06,0.1615,8,0
BK_00229,2025-02-24,CLI_034,SUP_009,48224.03,0.1093,18,1
BK_00230,2025-02-24,CLI_028,SUP_015,103825.97,0.101,22,1
BK_00231,2025-02-25,CLI_029,SUP_016,92431.23,0.1173,21,1
BK_00232,2025-02-25,CLI_036,SUP_012,81499.86,0.0899,17,1
BK_00233,2025-02-27,CLI_019,SUP_004,143611.05,0.1047,9,0
BK_00234,2025-02-27,CLI_013,SUP_013,86588.57,0.1946,1,0
BK_00235,2025-02-27,CLI_018,SUP_020,67571.83,0.1123,13,0
BK_00236,2025-02-28,CLI_017,SUP_009,34110.57,0.1715,6,0
BK_00237,2025-02-28,CLI_028,SUP_019,21212.9,0.1284,12,0
BK_00238,2025-03-01,CLI_011,SUP_019,42339.76,0.1961,10,0
BK_00239,2025-03-01,CLI_036,SUP_005,83083.28,0.1792,23,1
BK_00240,2025-03-01,CLI_049,SUP_017,25049.81,0.1835,8,0
BK_00241,2025-03-01,CLI_020,SUP_004,27270.51,0.1472,21,1
BK_00242,2025-03-01,CLI_037,SUP_017,51869.0,0.1231,15,0
BK_00243,2025-03-01,CLI_010,SUP_015,67975.27,0.1537,0,0
BK_00244,2025-03-01,CLI_038,SUP_014,145884.08,0.16,4,0
BK_00245,2025-03-02,CLI_013,SUP_016,49567.58,0.1608,2,0
BK_00246,2025-03-02,CLI_050,SUP_007,222866.69,0.1379,10,0
BK_00247,2025-03-02,CLI_036,SUP_013,126819.2,0.098,13,0
BK_00248,2025-03-02,CLI_043,SUP_006,133767.66,0.1803,25,1
BK_00249,2025-03-02,CLI_025,SUP_012,16332.15,0.0802,12,0
BK_00250,2025-03-03,CLI_010,SUP_009,78089.02,0.1052,0,0
BK_00251,2025-03-03,CLI_036,SUP_001,15119.77,0.1024,14,0
BK_00252,2025-03-03,CLI_027,SUP_013,112496.79,0.0824,17,1
BK_00253,2025-03-04,CLI_034,SUP_008,77016.15,0.1287,25,1
BK_00254,2025-03-04,CLI_005,SUP_011,44570.49,0.1901,3,0
BK_00255,2025-03-04,CLI_042,SUP_010,115401.72,0.1589,19,1
BK_00256,2025-03-04,CLI_021,SUP_018,32625.34,0.1048,20,1
BK_00257,2025-03-05,CLI_023,SUP_008,21253.97,0.192,15,0
BK_00258,2025-03-05,CLI_028,SUP_007,128315.02,0.1523,28,1
BK_00259,2025-03-05,CLI_017,SUP_014,136004.14,0.1911,7,0
BK_00260,2025-03-05,CLI_012,SUP_018,65851.29,0.1003,15,0
BK_00261,2025-03-06,CLI_014,SUP_015,86002.68,0.0929,12,0
BK_00262,2025-03-06,CLI_011,SUP_001,98718.45,0.0964,17,1
BK_00263,2025-03-06,CLI_006,SUP_010,116977.75,0.1359,2,0
BK_00264,2025-03-06,CLI_046,SUP_009,107501.91,0.1172,9,0
BK_00265,2025-03-07,CLI_045,SUP_009,21488.4,0.1042,4,0
BK_00266,2025-03-07,CLI_024,SUP_020,126651.05,0.1763,1,0
BK_00267,2025-03-07,CLI_039,SUP_014,54344.81,0.0952,26,1
BK_00268,2025-03-07,CLI_015,SUP_015,62129.3,0.1412,11,0
BK_00269,2025-03-07,CLI_014,SUP_015,103213.16,0.0873,23,1
BK_00270,2025-03-07,CLI_002,SUP_004,146625.07,0.1927,13,0
BK_00271,2025-03-07,CLI_017,SUP_002,103465.01,0.1339,3,0
BK_00272,2025-03-08,CLI_030,SUP_013,164064.26,0.1613,7,0
BK_00273,2025-03-08,CLI_049,SUP_002,26361.99,0.1527,1,0
BK_00274,2025-03-08,CLI_032,SUP_019,50922.62,0.1833,29,1
BK_00275,2025-03-09,CLI_035,SUP_014,75577.34,0.1862,2,0
BK_00276,2025-03-09,CLI_010,SUP_015,18675.94,0.1362,0,0
BK_00277,2025-03-09,CLI_005,SUP_016,67923.09,0.1257,0,0
BK_00278,2025-03-10,CLI_031,SUP_008,33905.64,0.0844,22,1
BK_00279,2025-03-10,CLI_021,SUP_007,121028.64,0.1278,14,0
BK_00280,2025-03-10,CLI_024,SUP_012,77835.39,0.1069,0,0
BK_00281,2025-03-10,CLI_019,SUP_012,40669.33,0.1398,16,1
BK_00282,2025-03-10,CLI_010,SUP_011,68056.62,0.0949,2,0
BK_00283,2025-03-10,CLI_005,SUP_013,178962.38,0.1237,0,0
BK_00284,2025-03-11,CLI_031,SUP_013,149972.72,0.1392,23,1
BK_00285,2025-03-11,CLI_031,SUP_013,14498.32,0.1653,17,1
BK_00286,2025-03-11,CLI_028,SUP_018,25397.09,0.1236,25,1
BK_00287,2025-03-11,CLI_017,SUP_001,88139.81,0.1335,5,0
BK_00288,2025-03-11,CLI_006,SUP_004,81194.07,0.1681,2,0
BK_00289,2025-03-11,CLI_008,SUP_002,84971.17,0.1829,20,1
BK_00290,2025-03-11,CLI_046,SUP_014,27972.14,0.1399,4,0
BK_00291,2025-03-12,CLI_003,SUP_007,67054.81,0.1382,5,0
BK_00292,2025-03-12,CLI_049,SUP_005,40002.05,0.1739,15,0
BK_00293,2025-03-12,CLI_021,SUP_009,66082.51,0.1379,1,0
BK_00294,2025-03-12,CLI_007,SUP_020,218897.46,0.1239,2,0
BK_00295,2025-03-13,CLI_043,SUP_018,97372.12,0.1122,16,1
BK_00296,2025-03-13,CLI_049,SUP_013,115183.02,0.1931,6,0
BK_00297,2025-03-13,CLI_029,SUP_020,127881.09,0.137,10,0
BK_00298,2025-03-13,CLI_035,SUP_005,101108.27,0.1432,6,0
BK_00299,2025-03-13,CLI_020,SUP_015,174140.53,0.1234,16,1
BK_00300,2025-03-13,CLI_032,SUP_015,109167.4,0.1588,31,1
BK_00301,2025-03-14,CLI_038,SUP_014,58108.87,0.1237,14,0
BK_00302,2025-03-14,CLI_042,SUP_019,16633.3,0.1889,16,1
BK_00303,2025-03-14,CLI_022,SUP_010,108305.37,0.0927,17,1
BK_00304,2025-03-15,CLI_041,SUP_009,16094.63,0.192,17,1
BK_00305,2025-03-15,CLI_028,SUP_013,149071.45,0.1962,29,1
BK_00306,2025-03-15,CLI_030,SUP_004,143362.37,0.119,6,0
BK_00307,2025-03-15,CLI_024,SUP_006,136855.06,0.1072,4,0
BK_00308,2025-03-16,CLI_049,SUP_003,141944.1,0.1997,16,1
BK_00309,2025-03-16,CLI_031,SUP_003,70570.7,0.1211,18,1
BK_00310,2025-03-16,CLI_014,SUP_019,51043.35,0.1054,16,1
BK_00311,2025-03-16,CLI_023,SUP_006,55322.05,0.1145,2,0
BK_00312,2025-03-17,CLI_035,SUP_017,93981.52,0.1432,0,0
BK_00313,2025-03-17,CLI_016,SUP_010,108226.07,0.1516,24,1
BK_00314,2025-03-17,CLI_018,SUP_018,90955.54,0.187,4,0
BK_00315,2025-03-18,CLI_010,SUP_009,12449.38,0.1968,0,0
BK_00316,2025-03-18,CLI_004,SUP_008,16068.39,0.1237,6,0
BK_00317,2025-03-18,CLI_002,SUP_013,13075.88,0.1945,20,1
BK_00318,2025-03-18,CLI_050,SUP_005,32630.7,0.1862,14,0
BK_00319,2025-03-19,CLI_034,SUP_003,126626.95,0.1445,29,1
BK_00320,2025-03-19,CLI_020,SUP_015,163231.03,0.1203,19,1
BK_00321,2025-03-19,CLI_015,SUP_008,171442.69,0.156,25,1
BK_00322,2025-03-19,CLI_049,SUP_018,126209.15,0.1645,10,0
BK_00323,2025-03-19,CLI_017,SUP_001,72059.36,0.1938,7,0
BK_00324,2025-03-19,CLI_001,SUP_010,57081.52,0.1055,15,0
BK_00325,2025-03-20,CLI_035,SUP_016,87610.64,0.1389,9,0
BK_00326,2025-03-20,CLI_019,SUP_001,10865.61,0.1393,5,0
BK_00327,2025-03-20,CLI_002,SUP_015,31377.55,0.1007,3,0
BK_00328,2025-03-21,CLI_027,SUP_011,182606.26,0.1431,16,1
BK_00329,2025-03-21,CLI_042,SUP_010,67214.64,0.1419,12,0
BK_00330,2025-03-21,CLI_038,SUP_014,88979.03,0.1389,11,0
BK_00331,2025-03-21,CLI_027,SUP_009,39739.51,0.091,6,0
BK_00332,2025-03-21,CLI_026,SUP_011,19846.28,0.1708,20,1
BK_00333,2025-03-21,CLI_014,SUP_018,84799.58,0.1696,21,1
BK_00334,2025-03-21,CLI_027,SUP_016,150063.9,0.1273,12,0
BK_00335,2025-03-21,CLI_024,SUP_006,120264.16,0.0833,2,0
BK_00336,2025-03-21,CLI_036,SUP_007,98772.33,0.1849,27,1
BK_00337,2025-03-22,CLI_045,SUP_018,68094.18,0.1221,6,0
BK_00338,2025-03-22,CLI_033,SUP_002,30790.5,0.1707,12,0
BK_00339,2025-03-22,CLI_019,SUP_012,59059.16,0.1993,21,1
BK_00340,2025-03-22,CLI_032,SUP_005,52090.92,0.123,25,1
BK_00341,2025-03-22,CLI_050,SUP_008,16639.76,0.0866,15,0
BK_00342,2025-03-23,CLI_045,SUP_006,123602.75,0.1487,0,0
BK_00343,2025-03-23,CLI_006,SUP_006,118722.96,0.0983,3,0
BK_00344,2025-03-23,CLI_002,SUP_013,45431.82,0.1771,12,0
BK_00345,2025-03-23,CLI_007,SUP_006,206437.65,0.1219,5,0
BK_00346,2025-03-23,CLI_048,SUP_013,26018.9,0.1801,21,1
BK_00347,2025-03-23,CLI_025,SUP_019,34842.46,0.1479,13,0
BK_00348,2025-03-24,CLI_001,SUP_008,23792.11,0.1473,17,1
BK_00349,2025-03-24,CLI_031,SUP_015,62065.72,0.1353,17,1
BK_00350,2025-03-24,CLI_009,SUP_004,129620.11,0.1701,19,1
BK_00351,2025-03-24,CLI_012,SUP_018,83432.65,0.0816,13,0
BK_00352,2025-03-24,CLI_008,SUP_010,31540.82,0.1972,25,1
BK_00353,2025-03-24,CLI_036,SUP_014,103267.31,0.1115,19,1
BK_00354,2025-03-25,CLI_043,SUP_015,33676.4,0.1221,16,1
BK_00355,2025-03-25,CLI_037,SUP_001,24337.84,0.1571,18,1
BK_00356,2025-03-25,CLI_043,SUP_016,128798.27,0.1812,16,1
BK_00357,2025-03-25,CLI_040,SUP_008,125477.08,0.164,1,0
