transaction_id,date,type,category,amount,client_id
TX_00050,2025-01-12,Inflow,Booking Revenue,21974.43,CLI_049
TX_00051,2025-01-12,Inflow,Booking Revenue,18893.97,CLI_028
TX_00052,2025-01-12,Inflow,Booking Revenue,80690.8,CLI_023
TX_00053,2025-01-12,Outflow,Operations,18610.7,
TX_00054,2025-01-13,Inflow,Booking Revenue,23826.83,CLI_042
TX_00055,2025-01-13,Inflow,Booking Revenue,68682.59,CLI_024
TX_00056,2025-01-13,Inflow,Booking Revenue,58141.2,CLI_009
TX_00057,2025-01-13,Inflow,Booking Revenue,107517.9,CLI_003
TX_00058,2025-01-13,Outflow,Operations,17412.78,
TX_00059,2025-01-14,Inflow,Booking Revenue,36061.16,CLI_027
TX_00060,2025-01-14,Inflow,Booking Revenue,126755.37,CLI_029
TX_00061,2025-01-14,Inflow,Booking Revenue,68975.23,CLI_020
TX_00062,2025-01-14,Inflow,Booking Revenue,23299.45,CLI_019
TX_00063,2025-01-14,Outflow,Operations,11532.61,
TX_00064,2025-01-15,Inflow,Booking Revenue,123955.67,CLI_034
TX_00065,2025-01-15,Inflow,Booking Revenue,59158.9,CLI_035
TX_00066,2025-01-15,Inflow,Booking Revenue,116385.26,CLI_034
TX_00067,2025-01-15,Inflow,Booking Revenue,17874.17,CLI_006
TX_00068,2025-01-15,Outflow,Operations,17726.38,
TX_00069,2025-01-16,Inflow,Booking Revenue,38547.8,CLI_018
TX_00070,2025-01-16,Inflow,Booking Revenue,50070.76,CLI_046
TX_00071,2025-01-16,Inflow,Booking Revenue,107171.78,CLI_027
TX_00072,2025-01-16,Inflow,Booking Revenue,202927.78,CLI_023
TX_00073,2025-01-16,Inflow,Booking Revenue,122126.68,CLI_048
TX_00074,2025-01-16,Outflow,Operations,17211.89,
TX_00075,2025-01-17,Inflow,Booking Revenue,49068.75,CLI_026
TX_00076,2025-01-17,Inflow,Booking Revenue,108930.85,CLI_049
TX_00077,2025-01-17,Inflow,Booking Revenue,194591.88,CLI_007
TX_00078,2025-01-17,Outflow,Operations,10793.18,
TX_00079,2025-01-18,Inflow,Booking Revenue,212775.35,CLI_011
TX_00080,2025-01-18,Inflow,Booking Revenue,124189.77,CLI_036
TX_00081,2025-01-18,Inflow,Booking Revenue,172638.99,CLI_036
TX_00082,2025-01-18,Inflow,Booking Revenue,116801.26,CLI_016
TX_00083,2025-01-18,Inflow,Booking Revenue,25439.1,CLI_010
TX_00084,2025-01-18,Inflow,Booking Revenue,175735.39,CLI_040
TX_00085,2025-01-18,Inflow,Booking Revenue,23854.23,CLI_025
TX_00086,2025-01-18,Outflow,Operations,8915.73,
TX_00087,2025-01-19,Inflow,Booking Revenue,99871.24,CLI_013
TX_00088,2025-01-19,Inflow,Booking Revenue,153803.45,CLI_019
TX_00089,2025-01-19,Inflow,Booking Revenue,159821.63,CLI_035
TX_00090,2025-01-19,Inflow,Booking Revenue,60727.27,CLI_019
TX_00091,2025-01-19,Inflow,Booking Revenue,163333.59,CLI_020
TX_00092,2025-01-19,Outflow,Operations,14941.94,
TX_00093,2025-01-20,Inflow,Booking Revenue,109223.94,CLI_021
TX_00094,2025-01-20,Inflow,Booking Revenue,31048.46,CLI_046
TX_00095,2025-01-20,Inflow,Booking Revenue,139338.59,CLI_003
TX_00096,2025-01-20,Inflow,Booking Revenue,136821.36,CLI_029
TX_00097,2025-01-20,Inflow,Booking Revenue,114905.43,CLI_030
TX_00098,2025-01-20,Inflow,Booking Revenue,93304.91,CLI_034
TX_00099,2025-01-20,Inflow,Booking Revenue,78135.32,CLI_049
TX_00100,2025-01-20,Outflow,Operations,17307.31,
TX_00101,2025-01-21,Inflow,Booking Revenue,142262.68,CLI_042
TX_00102,2025-01-21,Inflow,Booking Revenue,79080.71,CLI_029
TX_00103,2025-01-21,Inflow,Booking Revenue,54412.55,CLI_048
TX_00104,2025-01-21,Inflow,Booking Revenue,120940.35,CLI_013
TX_00105,2025-01-21,Inflow,Booking Revenue,214473.13,CLI_015
TX_00106,2025-01-21,Inflow,Booking Revenue,135393.42,CLI_032
TX_00107,2025-01-21,Inflow,Booking Revenue,82336.77,CLI_010
TX_00108,2025-01-21,Inflow,Booking Revenue,139591.32,CLI_038
TX_00109,2025-01-21,Inflow,Booking Revenue,13528.07,CLI_013
TX_00110,2025-01-21,Outflow,Operations,9262.76,
TX_00111,2025-01-22,Inflow,Booking Revenue,168606.04,CLI_047
TX_00112,2025-01-22,Inflow,Booking Revenue,19706.66,CLI_048
TX_00113,2025-01-22,Inflow,Booking Revenue,41948.58,CLI_009
TX_00114,2025-01-22,Inflow,Booking Revenue,82224.18,CLI_030
TX_00115,2025-01-22,Outflow,Operations,6520.7,
TX_00116,2025-01-23,Inflow,Booking Revenue,39142.02,CLI_029
TX_00117,2025-01-23,Inflow,Booking Revenue,28464.42,CLI_009
TX_00118,2025-01-23,Inflow,Booking Revenue,56668.07,CLI_021
TX_00119,2025-01-23,Outflow,Operations,12580.48,
TX_00120,2025-01-24,Inflow,Booking Revenue,35984.88,CLI_025
TX_00121,2025-01-24,Inflow,Booking Revenue,69023.09,CLI_008
TX_00122,2025-01-24,Inflow,Booking Revenue,148432.74,CLI_026
TX_00123,2025-01-24,Inflow,Booking Revenue,124298.02,CLI_048
TX_00124,2025-01-24,Inflow,Booking Revenue,156191.02,CLI_003
TX_00125,2025-01-24,Outflow,Operations,14303.52,
TX_00126,2025-01-25,Inflow,Booking Revenue,108111.15,CLI_001
TX_00127,2025-01-25,Inflow,Booking Revenue,119526.55,CLI_021
TX_00128,2025-01-25,Inflow,Booking Revenue,61302.75,CLI_010
TX_00129,2025-01-25,Outflow,Operations,5990.83,
TX_00130,2025-01-26,Inflow,Booking Revenue,118667.43,CLI_029
TX_00131,2025-01-26,Inflow,Booking Revenue,102672.23,CLI_007
TX_00132,2025-01-26,Inflow,Booking Revenue,176378.18,CLI_008
TX_00133,2025-01-26,Inflow,Booking Revenue,94506.25,CLI_044
TX_00134,2025-01-26,Inflow,Booking Revenue,226456.99,CLI_020
TX_00135,2025-01-26,Inflow,Booking Revenue,85320.32,CLI_004
TX_00136,2025-01-26,Inflow,Booking Revenue,144228.88,CLI_004
TX_00137,2025-01-26,Outflow,Operations,8101.97,
TX_00138,2025-01-27,Inflow,Booking Revenue,103616.01,CLI_032
TX_00139,2025-01-27,Inflow,Booking Revenue,120092.42,CLI_050
TX_00140,2025-01-27,Inflow,Booking Revenue,199398.75,CLI_050
TX_00141,2025-01-27,Inflow,Booking Revenue,23436.26,CLI_016
TX_00142,2025-01-27,Outflow,Operations,15871.8,
TX_00143,2025-01-28,Inflow,Booking Revenue,51763.28,CLI_019
TX_00144,2025-01-28,Inflow,Booking Revenue,56193.78,CLI_002
TX_00145,2025-01-28,Inflow,Booking Revenue,108166.96,CLI_046
TX_00146,2025-01-28,Inflow,Booking Revenue,79109.45,CLI_044
TX_00147,2025-01-28,Inflow,Booking Revenue,45604.92,CLI_004
TX_00148,2025-01-28,Inflow,Booking Revenue,92031.93,CLI_048
TX_00149,2025-01-28,Outflow,Operations,8455.93,
TX_00150,2025-01-29,Inflow,Booking Revenue,89951.06,CLI_042
TX_00151,2025-01-29,Inflow,Booking Revenue,207309.55,CLI_038
TX_00152,2025-01-29,Inflow,Booking Revenue,157631.17,CLI_034
TX_00153,2025-01-29,Inflow,Booking Revenue,48353.67,CLI_043
TX_00154,2025-01-29,Inflow,Booking Revenue,193056.64,CLI_041
TX_00155,2025-01-29,Inflow,Booking Revenue,74787.95,CLI_013
TX_00156,2025-01-29,Inflow,Booking Revenue,59789.29,CLI_020
TX_00157,2025-01-29,Inflow,Booking Revenue,26110.02,CLI_037
TX_00158,2025-01-29,Inflow,Booking Revenue,72554.2,CLI_035
TX_00159,2025-01-29,Outflow,Operations,18443.54,
TX_00160,2025-01-30,Inflow,Booking Revenue,28541.16,CLI_050
TX_00161,2025-01-30,Outflow,Operations,8430.06,
TX_00162,2025-01-31,Inflow,Booking Revenue,71650.08,CLI_025
TX_00163,2025-01-31,Outflow,Operations,10807.75,
TX_00164,2025-02-01,Inflow,Booking Revenue,79429.82,CLI_007
TX_00165,2025-02-01,Inflow,Booking Revenue,255059.51,CLI_032
TX_00166,2025-02-01,Inflow,Booking Revenue,123505.51,CLI_041
TX_00167,2025-02-01,Inflow,Booking Revenue,228179.18,CLI_022
TX_00168,2025-02-01,Outflow,Operations,6552.69,
TX_00169,2025-02-02,Inflow,Booking Revenue,123628.61,CLI_030
TX_00170,2025-02-02,Outflow,Operations,16454.05,
TX_00171,2025-02-03,Inflow,Booking Revenue,69667.53,CLI_016
TX_00172,2025-02-03,Inflow,Booking Revenue,102903.14,CLI_007
TX_00173,2025-02-03,Inflow,Booking Revenue,162530.59,CLI_032
TX_00174,2025-02-03,Outflow,Operations,7013.04,
TX_00175,2025-02-04,Inflow,Booking Revenue,95324.03,CLI_048
TX_00176,2025-02-04,Inflow,Booking Revenue,245013.41,CLI_006
TX_00177,2025-02-04,Inflow,Booking Revenue,164256.57,CLI_019
TX_00178,2025-02-04,Inflow,Booking Revenue,22076.95,CLI_028
TX_00179,2025-02-04,Inflow,Booking Revenue,118550.81,CLI_034
TX_00180,2025-02-04,Outflow,Operations,9158.88,
TX_00181,2025-02-05,Inflow,Booking Revenue,169352.87,CLI_015
TX_00182,2025-02-05,Inflow,Booking Revenue,36602.16,CLI_021
TX_00183,2025-02-05,Inflow,Booking Revenue,101536.06,CLI_036
TX_00184,2025-02-05,Inflow,Booking Revenue,59952.52,CLI_019
TX_00185,2025-02-05,Outflow,Operations,11483.2,
TX_00186,2025-02-06,Inflow,Booking Revenue,78832.59,CLI_041
TX_00187,2025-02-06,Inflow,Booking Revenue,131585.61,CLI_038
TX_00188,2025-02-06,Inflow,Booking Revenue,86640.83,CLI_002
TX_00189,2025-02-06,Inflow,Booking Revenue,89270.41,CLI_036
TX_00190,2025-02-06,Inflow,Booking Revenue,22469.45,CLI_015
TX_00191,2025-02-06,Inflow,Booking Revenue,145587.08,CLI_009
TX_00192,2025-02-06,Outflow,Operations,10393.15,
TX_00193,2025-02-07,Inflow,Booking Revenue,222166.08,CLI_006
TX_00194,2025-02-07,Inflow,Booking Revenue,100692.35,CLI_008
TX_00195,2025-02-07,Inflow,Booking Revenue,181494.74,CLI_032
TX_00196,2025-02-07,Outflow,Operations,9372.26,
TX_00197,2025-02-08,Inflow,Booking Revenue,59180.28,CLI_031
TX_00198,2025-02-08,Inflow,Booking Revenue,121684.73,CLI_003
TX_00199,2025-02-08,Inflow,Booking Revenue,109195.2,CLI_034
TX_00200,2025-02-08,Inflow,Booking Revenue,150142.15,CLI_025
TX_00201,2025-02-08,Inflow,Booking Revenue,37709.89,CLI_049
TX_00202,2025-02-08,Inflow,Booking Revenue,176767.14,CLI_050
TX_00203,2025-02-08,Outflow,Operations,18589.6,
TX_00204,2025-02-09,Inflow,Booking Revenue,128319.23,CLI_004
TX_00205,2025-02-09,Inflow,Booking Revenue,119097.66,CLI_036
TX_00206,2025-02-09,Inflow,Booking Revenue,253050.37,CLI_015
TX_00207,2025-02-09,Inflow,Booking Revenue,149987.66,CLI_043
TX_00208,2025-02-09,Inflow,Booking Revenue,143541.33,CLI_018
TX_00209,2025-02-09,Inflow,Booking Revenue,155497.59,CLI_006
TX_00210,2025-02-09,Inflow,Booking Revenue,108155.31,CLI_008
TX_00211,2025-02-09,Outflow,Operations,8301.65,
TX_00212,2025-02-10,Inflow,Booking Revenue,88259.45,CLI_048
TX_00213,2025-02-10,Inflow,Booking Revenue,116421.47,CLI_042
TX_00214,2025-02-10,Inflow,Booking Revenue,103073.16,CLI_031
TX_00215,2025-02-10,Inflow,Booking Revenue,79332.69,CLI_029
TX_00216,2025-02-10,Inflow,Booking Revenue,206947.54,CLI_043
TX_00217,2025-02-10,Inflow,Booking Revenue,144263.42,CLI_036
TX_00218,2025-02-10,Outflow,Operations,7876.6,
TX_00219,2025-02-11,Inflow,Booking Revenue,251437.99,CLI_015
TX_00220,2025-02-11,Inflow,Booking Revenue,123511.13,CLI_003
TX_00221,2025-02-11,Outflow,Operations,6235.24,
TX_00222,2025-02-12,Outflow,Operations,11489.02,
TX_00223,2025-02-13,Inflow,Booking Revenue,18231.37,CLI_031
TX_00224,2025-02-13,Inflow,Booking Revenue,130195.13,CLI_028
TX_00225,2025-02-13,Inflow,Booking Revenue,54383.72,CLI_020
TX_00226,2025-02-13,Inflow,Booking Revenue,109572.42,CLI_005
TX_00227,2025-02-13,Outflow,Operations,15078.38,
TX_00228,2025-02-14,Inflow,Booking Revenue,34330.79,CLI_041
TX_00229,2025-02-14,Inflow,Booking Revenue,53721.9,CLI_040
TX_00230,2025-02-14,Inflow,Booking Revenue,153694.03,CLI_030
TX_00231,2025-02-14,Inflow,Booking Revenue,66893.52,CLI_003
TX_00232,2025-02-14,Inflow,Booking Revenue,139334.39,CLI_047
TX_00233,2025-02-14,Inflow,Booking Revenue,106712.95,CLI_008
TX_00234,2025-02-14,Inflow,Booking Revenue,110838.69,CLI_009
TX_00235,2025-02-14,Outflow,Operations,11791.52,
TX_00236,2025-02-15,Inflow,Booking Revenue,20632.68,CLI_032
TX_00237,2025-02-15,Inflow,Booking Revenue,72638.46,CLI_033
TX_00238,2025-02-15,Inflow,Booking Revenue,151994.08,CLI_044
TX_00239,2025-02-15,Inflow,Booking Revenue,112210.08,CLI_049
TX_00240,2025-02-15,Inflow,Booking Revenue,42085.99,CLI_009
TX_00241,2025-02-15,Inflow,Booking Revenue,91375.26,CLI_047
TX_00242,2025-02-15,Inflow,Booking Revenue,117964.22,CLI_027
TX_00243,2025-02-15,Outflow,Operations,14015.39,
TX_00244,2025-02-16,Inflow,Booking Revenue,88774.33,CLI_049
TX_00245,2025-02-16,Inflow,Booking Revenue,130216.19,CLI_046
TX_00246,2025-02-16,Inflow,Booking Revenue,40203.71,CLI_024
TX_00247,2025-02-16,Inflow,Booking Revenue,126066.11,CLI_012
TX_00248,2025-02-16,Inflow,Booking Revenue,35762.62,CLI_004
TX_00249,2025-02-16,Outflow,Operations,6560.19,
TX_00250,2025-02-17,Inflow,Booking Revenue,61576.83,CLI_023
TX_00251,2025-02-17,Inflow,Booking Revenue,19647.31,CLI_015
TX_00252,2025-02-17,Inflow,Booking Revenue,89991.86,CLI_049
TX_00253,2025-02-17,Inflow,Booking Revenue,40152.31,CLI_021
TX_00254,2025-02-17,Inflow,Booking Revenue,172749.4,CLI_031
TX_00255,2025-02-17,Outflow,Operations,19725.27,
TX_00256,2025-02-18,Inflow,Booking Revenue,148030.37,CLI_015
TX_00257,2025-02-18,Inflow,Booking Revenue,59028.0,CLI_016
TX_00258,2025-02-18,Inflow,Booking Revenue,45313.51,CLI_013
TX_00259,2025-02-18,Outflow,Operations,19369.73,
TX_00260,2025-02-19,Inflow,Booking Revenue,25167.05,CLI_047
TX_00261,2025-02-19,Outflow,Operations,5213.42,
TX_00262,2025-02-20,Inflow,Booking Revenue,111098.59,CLI_025
TX_00263,2025-02-20,Inflow,Booking Revenue,234437.77,CLI_014
TX_00264,2025-02-20,Inflow,Booking Revenue,52286.1,CLI_032
TX_00265,2025-02-20,Inflow,Booking Revenue,83514.44,CLI_011
TX_00266,2025-02-20,Inflow,Booking Revenue,86985.01,CLI_009
TX_00267,2025-02-20,Outflow,Operations,11317.87,
TX_00268,2025-02-21,Inflow,Booking Revenue,161911.27,CLI_037
TX_00269,2025-02-21,Inflow,Booking Revenue,61772.98,CLI_012
TX_00270,2025-02-21,Inflow,Booking Revenue,163505.13,CLI_005
TX_00271,2025-02-21,Inflow,Booking Revenue,26307.23,CLI_012
TX_00272,2025-02-21,Inflow,Booking Revenue,240642.37,CLI_005
TX_00273,2025-02-21,Outflow,Operations,19266.68,
TX_00274,2025-02-22,Inflow,Booking Revenue,58663.28,CLI_010
TX_00275,2025-02-22,Outflow,Operations,17969.89,
TX_00276,2025-02-23,Inflow,Booking Revenue,164202.68,CLI_010
TX_00277,2025-02-23,Inflow,Booking Revenue,140500.47,CLI_029
TX_00278,2025-02-23,Inflow,Booking Revenue,44384.54,CLI_046
TX_00279,2025-02-23,Inflow,Booking Revenue,134811.36,CLI_049
TX_00280,2025-02-23,Outflow,Operations,15565.79,
TX_00281,2025-02-24,Inflow,Booking Revenue,261427.51,CLI_007
TX_00282,2025-02-24,Inflow,Booking Revenue,173142.63,CLI_049
TX_00283,2025-02-24,Inflow,Booking Revenue,53496.89,CLI_034
TX_00284,2025-02-24,Inflow,Booking Revenue,114314.57,CLI_028
TX_00285,2025-02-24,Outflow,Operations,12106.75,
TX_00286,2025-02-25,Inflow,Booking Revenue,103277.4,CLI_029
TX_00287,2025-02-25,Inflow,Booking Revenue,88824.68,CLI_036
TX_00288,2025-02-25,Outflow,Operations,14250.86,
TX_00289,2025-02-26,Outflow,Operations,16640.33,
TX_00290,2025-02-27,Inflow,Booking Revenue,158645.25,CLI_019
TX_00291,2025-02-27,Inflow,Booking Revenue,103439.0,CLI_013
TX_00292,2025-02-27,Inflow,Booking Revenue,75157.15,CLI_018
TX_00293,2025-02-27,Outflow,Operations,8209.43,
TX_00294,2025-02-28,Inflow,Booking Revenue,39959.43,CLI_017
TX_00295,2025-02-28,Inflow,Booking Revenue,23936.38,CLI_028
TX_00296,2025-02-28,Outflow,Operations,9454.92,
TX_00297,2025-03-01,Inflow,Booking Revenue,50641.67,CLI_011
TX_00298,2025-03-01,Inflow,Booking Revenue,97969.29,CLI_036
TX_00299,2025-03-01,Inflow,Booking Revenue,29645.85,CLI_049
TX_00300,2025-03-01,Inflow,Booking Revenue,31285.61,CLI_020
TX_00301,2025-03-01,Inflow,Booking Revenue,58254.06,CLI_037
TX_00302,2025-03-01,Inflow,Booking Revenue,78421.67,CLI_010
TX_00303,2025-03-01,Inflow,Booking Revenue,169219.2,CLI_038
TX_00304,2025-03-01,Outflow,Operations,13197.71,
TX_00305,2025-03-02,Inflow,Booking Revenue,57538.57,CLI_013
TX_00306,2025-03-02,Inflow,Booking Revenue,253593.36,CLI_050
TX_00307,2025-03-02,Inflow,Booking Revenue,139250.75,CLI_036
TX_00308,2025-03-02,Inflow,Booking Revenue,157882.15,CLI_043
TX_00309,2025-03-02,Inflow,Booking Revenue,17642.39,CLI_025
TX_00310,2025-03-02,Outflow,Operations,5934.77,
TX_00311,2025-03-03,Inflow,Booking Revenue,86301.72,CLI_010
TX_00312,2025-03-03,Inflow,Booking Revenue,16667.58,CLI_036
TX_00313,2025-03-03,Inflow,Booking Revenue,121766.98,CLI_027
TX_00314,2025-03-03,Outflow,Operations,7114.69,
TX_00315,2025-03-04,Inflow,Booking Revenue,86930.38,CLI_034
TX_00316,2025-03-04,Inflow,Booking Revenue,53042.29,CLI_005
TX_00317,2025-03-04,Inflow,Booking Revenue,133742.91,CLI_042
TX_00318,2025-03-04,Inflow,Booking Revenue,36044.26,CLI_021
TX_00319,2025-03-04,Outflow,Operations,12632.61,
TX_00320,2025-03-05,Inflow,Booking Revenue,25335.21,CLI_023
TX_00321,2025-03-05,Inflow,Booking Revenue,147852.08,CLI_028
TX_00322,2025-03-05,Inflow,Booking Revenue,161998.26,CLI_017
TX_00323,2025-03-05,Inflow,Booking Revenue,72457.0,CLI_012
TX_00324,2025-03-05,Outflow,Operations,12660.04,
TX_00325,2025-03-06,Inflow,Booking Revenue,93990.82,CLI_014
TX_00326,2025-03-06,Inflow,Booking Revenue,108237.44,CLI_011
TX_00327,2025-03-06,Inflow,Booking Revenue,132880.03,CLI_006
TX_00328,2025-03-06,Inflow,Booking Revenue,120098.29,CLI_046
TX_00329,2025-03-06,Outflow,Operations,18095.09,
TX_00330,2025-03-07,Inflow,Booking Revenue,23726.86,CLI_045
TX_00331,2025-03-07,Inflow,Booking Revenue,148977.51,CLI_024
TX_00332,2025-03-07,Inflow,Booking Revenue,59516.34,CLI_039
TX_00333,2025-03-07,Inflow,Booking Revenue,70903.64,CLI_015
TX_00334,2025-03-07,Inflow,Booking Revenue,112227.54,CLI_014
TX_00335,2025-03-07,Inflow,Booking Revenue,174878.22,CLI_002
TX_00336,2025-03-07,Inflow,Booking Revenue,117322.61,CLI_017
TX_00337,2025-03-07,Outflow,Operations,17897.77,
TX_00338,2025-03-08,Inflow,Booking Revenue,190521.13,CLI_030
TX_00339,2025-03-08,Inflow,Booking Revenue,30386.81,CLI_049
TX_00340,2025-03-08,Inflow,Booking Revenue,60254.28,CLI_032
TX_00341,2025-03-08,Outflow,Operations,12980.2,
TX_00342,2025-03-09,Inflow,Booking Revenue,89652.4,CLI_035
TX_00343,2025-03-09,Inflow,Booking Revenue,21219.5,CLI_010
TX_00344,2025-03-09,Inflow,Booking Revenue,76463.59,CLI_005
TX_00345,2025-03-09,Outflow,Operations,18338.21,
TX_00346,2025-03-10,Inflow,Booking Revenue,36767.44,CLI_031
TX_00347,2025-03-10,Inflow,Booking Revenue,136495.77,CLI_021
TX_00348,2025-03-10,Inflow,Booking Revenue,86159.74,CLI_024
TX_00349,2025-03-10,Inflow,Booking Revenue,46354.86,CLI_019
TX_00350,2025-03-10,Inflow,Booking Revenue,74514.63,CLI_010
TX_00351,2025-03-10,Inflow,Booking Revenue,201091.85,CLI_005
TX_00352,2025-03-10,Outflow,Operations,16079.93,
TX_00353,2025-03-11,Inflow,Booking Revenue,170842.79,CLI_031
TX_00354,2025-03-11,Inflow,Booking Revenue,16894.64,CLI_031
TX_00355,2025-03-11,Inflow,Booking Revenue,28537.17,CLI_028
TX_00356,2025-03-11,Inflow,Booking Revenue,99907.43,CLI_017
TX_00357,2025-03-11,Inflow,Booking Revenue,94839.8,CLI_006
TX_00358,2025-03-11,Inflow,Booking Revenue,100515.47,CLI_008
TX_00359,2025-03-11,Inflow,Booking Revenue,31884.81,CLI_046
TX_00360,2025-03-11,Outflow,Operations,14804.55,
TX_00361,2025-03-12,Inflow,Booking Revenue,76322.67,CLI_003
TX_00362,2025-03-12,Inflow,Booking Revenue,46957.67,CLI_049
TX_00363,2025-03-12,Inflow,Booking Revenue,75197.81,CLI_021
TX_00364,2025-03-12,Inflow,Booking Revenue,246028.4,CLI_007
TX_00365,2025-03-12,Outflow,Operations,14164.6,
TX_00366,2025-03-13,Inflow,Booking Revenue,108300.75,CLI_043
TX_00367,2025-03-13,Inflow,Booking Revenue,137421.56,CLI_049
TX_00368,2025-03-13,Inflow,Booking Revenue,145405.46,CLI_029
TX_00369,2025-03-13,Inflow,Booking Revenue,115590.86,CLI_035
TX_00370,2025-03-13,Inflow,Booking Revenue,195629.97,CLI_020
TX_00371,2025-03-13,Inflow,Booking Revenue,126506.3,CLI_032
TX_00372,2025-03-13,Outflow,Operations,16170.34,
TX_00373,2025-03-14,Inflow,Booking Revenue,65297.34,CLI_038
TX_00374,2025-03-14,Inflow,Booking Revenue,19774.82,CLI_042
TX_00375,2025-03-14,Inflow,Booking Revenue,118346.22,CLI_022
TX_00376,2025-03-14,Outflow,Operations,5566.39,
TX_00377,2025-03-15,Inflow,Booking Revenue,19185.34,CLI_041
TX_00378,2025-03-15,Inflow,Booking Revenue,178318.64,CLI_028
TX_00379,2025-03-15,Inflow,Booking Revenue,160417.68,CLI_030
TX_00380,2025-03-15,Inflow,Booking Revenue,151525.61,CLI_024
TX_00381,2025-03-15,Outflow,Operations,13052.18,
TX_00382,2025-03-16,Inflow,Booking Revenue,170287.28,CLI_049
TX_00383,2025-03-16,Inflow,Booking Revenue,79117.01,CLI_031
TX_00384,2025-03-16,Inflow,Booking Revenue,56425.11,CLI_014
TX_00385,2025-03-16,Inflow,Booking Revenue,61656.9,CLI_023
TX_00386,2025-03-16,Outflow,Operations,16755.84,
TX_00387,2025-03-17,Inflow,Booking Revenue,107437.77,CLI_035
TX_00388,2025-03-17,Inflow,Booking Revenue,124636.95,CLI_016
TX_00389,2025-03-17,Inflow,Booking Revenue,107964.22,CLI_018
TX_00390,2025-03-17,Outflow,Operations,12268.82,
TX_00391,2025-03-18,Inflow,Booking Revenue,14899.98,CLI_010
TX_00392,2025-03-18,Inflow,Booking Revenue,18056.55,CLI_004
TX_00393,2025-03-18,Inflow,Booking Revenue,15618.52,CLI_002
TX_00394,2025-03-18,Inflow,Booking Revenue,38706.51,CLI_050
TX_00395,2025-03-18,Outflow,Operations,9033.12,
TX_00396,2025-03-19,Inflow,Booking Revenue,144926.44,CLI_034
