previous_consumption,people,temperature,day_of_week,is_holiday,food_demand
293,2,32,4,0,228.07053190571045
407,5,26,1,1,402.75038581925605
108,6,24,2,1,216.29623106512682
335,7,19,6,0,329.65035555286653
33,5,23,4,0,128.00130755557504
261,9,16,2,1,314.4546699379337
284,1,16,1,0,227.0372922650198
365,7,20,4,1,355.3325792676232
72,10,24,0,0,233.31785598020912
405,7,32,5,1,407.1723441101002
359,4,26,1,0,343.53540942641604
111,9,18,3,1,299.87522335842857
386,14,36,3,1,530.6756521665154
463,12,35,1,1,568.572451654809
474,11,31,3,0,445.1084656015818
447,5,29,6,1,399.6176798138278
283,4,20,1,1,273.0164586196088
450,13,30,0,0,444.61824535928287
54,7,31,1,0,203.2619386132755
225,4,17,4,0,196.683470401719
100,3,24,4,0,173.6700168196062
439,9,19,2,1,414.59956271123264
69,11,28,3,0,246.46216061554316
379,8,35,5,0,410.1613765170261
407,1,27,3,0,271.19092043155655
21,7,20,6,0,178.7575538749431
409,9,26,1,0,399.987188798466
73,8,22,5,0,209.25542922606945
125,8,19,5,0,215.61905254239187
279,13,29,3,1,432.54420091414016
329,6,30,5,1,341.8701637602155
496,11,15,5,1,456.9239310468726
210,4,30,4,1,252.9149136936709
421,8,19,0,1,424.25661577350115
237,3,17,1,0,208.2201845118273
63,13,34,3,0,309.8688146265353
181,9,29,4,0,283.5293474288422
221,13,27,6,0,320.7441968763701
465,2,38,6,1,344.0714300316185
289,2,30,2,1,258.71988892912265
370,12,37,5,0,416.29875308965427
323,13,25,5,0,396.0128487481846
290,12,35,3,1,413.78890860571596
475,7,16,0,1,393.89182519744867
481,12,36,0,1,551.2433971060823
234,10,20,3,0,305.9404345014094
271,4,20,3,0,254.1934031620107
209,10,28,4,1,343.7788988911605
315,8,39,6,1,413.8149321532023
232,9,25,3,0,321.4195921029525
227,7,22,6,0,250.66968260658865
256,5,22,2,0,286.2325894659636
357,8,15,6,0,319.4095518596317
386,4,35,4,1,357.0000133166332
72,2,21,5,1,145.54053666060656
299,11,20,5,1,394.26729520428995
429,12,35,6,0,480.4235978995247
236,6,22,5,0,236.86431162504618
271,9,33,5,0,350.7467053362673
207,1,36,1,1,232.12291114017347
399,11,35,2,1,464.5094406957817
60,10,38,4,1,282.2051299209188
176,12,34,4,0,319.83796708948586
34,7,22,5,0,175.60702324248905
320,10,28,0,1,382.7906096008341
84,9,32,4,0,245.75761540399296
364,10,39,2,1,437.9734195436382
346,9,30,3,1,371.31678488501547
28,10,23,2,1,221.33122972254014
363,11,29,5,1,442.5955171554707
148,13,24,5,0,306.5136377206118
155,3,36,1,0,183.33159663024935
491,11,30,6,0,455.22105195511296
82,13,18,4,0,257.39976954271026
158,5,34,6,0,254.85333035712696
100,8,27,6,0,201.60121725990766
411,8,36,4,1,456.95806491330353
182,4,19,4,0,182.38537558403442
438,12,36,5,0,457.92491014844245
308,11,21,4,0,368.67647127662536
398,11,37,0,1,469.06081568540895
280,1,23,0,0,197.05000098262673
250,1,22,3,1,218.39767260986943
60,4,30,4,0,150.74396393872536
47,6,20,1,0,149.1880449732032
154,8,30,3,0,275.7134875850148
220,6,20,5,1,241.06046568977678
347,12,28,4,1,421.20670353671176
287,9,35,0,0,332.7356966539617
437,9,15,1,0,362.3412667598218
52,14,39,3,0,315.71853218664813
67,2,23,1,1,149.60839118148982
426,10,39,4,1,431.74939010958155
81,1,38,2,0,122.01893853928388
235,2,27,1,1,225.06672838901767
312,5,33,1,1,321.2828808768514
118,4,31,5,1,185.29824060266947
191,4,25,0,1,229.2335825434474
379,9,22,4,0,350.2775421625979
233,11,37,1,0,348.8124578659736
494,8,19,4,1,400.6074496266893
54,6,24,0,1,188.4488115326204
468,1,21,5,1,306.61932808075017
246,2,24,4,0,195.75037904506223
120,6,18,6,0,192.01585420628948
450,11,23,0,1,465.1052987916956
481,2,28,0,1,372.3679040355112
150,13,16,3,1,324.78467173607316
276,10,39,5,1,408.3776963573019
24,5,23,5,0,155.49974212760327
237,14,35,6,0,403.9751941092791
274,5,15,4,0,241.58404338935577
417,6,37,2,0,380.78724168357576
378,6,24,6,0,333.1816723490891
302,14,24,3,0,429.02486016186515
412,6,34,5,1,409.8759891901973
226,14,39,0,1,447.1165442084955
34,2,36,5,0,119.8805191512362
365,14,17,6,0,433.3245326538497
61,10,20,2,0,226.95052526511935
399,14,20,1,1,455.3524119578459
480,13,35,1,1,556.3783203685063
198,14,16,5,1,337.61418940111065
82,3,32,5,1,194.24373315254076
371,14,37,3,0,474.83992193715414
250,6,16,5,1,271.3142354446159
260,13,26,2,0,384.823803176525
71,8,36,5,1,265.87138652458896
115,12,19,4,1,279.3440018649385
407,13,34,6,1,524.8225256416301
241,11,21,2,1,358.9427610770333
426,12,38,3,0,515.2946460908184
250,1,30,4,0,215.79542057273412
256,1,34,4,0,211.9879469383077
162,11,15,6,0,262.19921428014766
190,13,15,1,0,317.7832092561454
48,2,31,2,0,118.9966145716533
55,11,15,6,0,251.80860308655443
32,12,35,4,1,320.5331966862106
179,12,34,3,0,346.5297696494989
346,6,27,6,1,382.38382338473326
206,9,23,1,0,243.67637740798895
262,4,29,4,1,288.25574773056616
105,3,17,6,0,156.6130383704087
303,12,28,2,1,428.448755428311
85,8,37,1,0,209.84384042353003
189,11,25,2,0,337.28886267035585
64,10,38,2,0,273.2269712674687
81,14,36,2,0,329.3602392042692
460,9,26,6,1,448.76715982312146
153,12,27,1,0,350.3740413629751
303,11,27,6,0,379.390350874659
47,5,15,6,1,153.6616068252567
127,9,38,6,0,258.2724299820888
63,2,24,4,1,154.6505827841723
359,3,17,5,1,308.22466790551204
305,7,38,0,0,334.6303110896738
465,7,18,4,0,362.3444304030785
350,6,30,1,1,381.601131964241
147,6,22,0,0,189.75169164606336
367,2,30,0,1,342.8889076266396
492,10,31,0,0,443.30932363303936
250,6,33,5,0,255.43403972302664
209,4,36,6,1,243.4926660527327
244,12,29,3,0,337.8055834341353
404,3,30,1,0,302.268077919263
396,13,29,5,0,441.6365496879831
302,11,39,5,1,444.4927964966143
465,13,16,3,0,477.1414963057896
140,2,25,0,1,175.52977881968621
135,1,15,6,0,174.56768811529741
480,11,29,3,1,488.26477866430014
252,11,33,3,0,354.9296728987427
278,5,18,5,0,224.45164103735232
378,2,25,1,1,297.3891935075006
217,2,19,2,0,182.448013827822
475,7,17,6,1,382.81558212212377
430,8,27,3,0,379.0261715038061
156,13,24,6,1,357.54021459951224
337,10,25,3,0,358.0032904179846
184,8,32,0,1,291.3168165525811
244,14,16,6,0,379.6426602840789
326,4,21,0,1,269.3577237773387
253,14,23,5,1,390.74155242812685
191,1,24,0,0,162.0475868116856
171,11,32,6,1,361.4231852548057
482,7,37,4,1,456.1104793245324
334,1,21,6,0,219.5222548928758
393,11,21,3,0,397.39222761591816
179,4,17,0,0,203.70883765653073
115,8,26,1,0,246.68002865941367
491,2,21,4,0,318.4969850368581
252,6,31,5,0,272.4476260172696
199,13,15,2,1,355.20544385290606
132,6,19,3,1,209.45605102813852
337,12,30,3,1,435.496486972102
461,9,29,1,0,413.70926656018867
71,5,16,2,0,140.4831036324308
287,10,23,2,1,360.42631460678194
314,4,21,5,1,299.47903747876
405,5,18,5,0,329.8681079969887
406,12,34,4,1,473.40568359570625
132,12,32,3,0,293.76240662266537
120,10,35,0,0,294.23243468368344
132,11,18,5,1,300.69517625576884
459,5,27,1,0,351.16527842965957
100,8,15,1,0,227.51103826726415
206,10,38,1,0,317.69931479067014
132,12,17,6,0,240.14127368639646
21,8,30,5,1,206.34081258736003
149,2,36,5,0,208.86756953782626
239,7,18,1,0,254.14592537866386
73,8,39,5,1,254.19121417128085
362,11,37,6,0,420.5320624250713
243,6,39,0,0,309.72126175785803
244,5,30,0,1,285.34200018565684
404,11,33,4,1,474.82695163817283
422,9,15,3,0,372.2146753812638
145,13,19,0,0,317.4842234229273
149,3,33,4,1,219.10525587803022
72,12,36,2,0,280.04016450221553
191,13,38,3,0,371.6618395320267
237,13,25,0,0,352.6498018457053
179,10,27,6,1,295.9362329633379
217,4,34,2,0,236.10224412295722
435,9,19,4,1,394.712512842203
266,6,35,0,1,334.9485907105778
343,8,18,0,1,356.7501845655036
458,7,18,5,1,428.46583896847665
222,11,18,2,0,305.3952577795151
203,2,18,0,1,197.0994560631295
142,3,34,1,0,154.60747897706972
420,1,35,6,1,302.91813377658906
274,9,32,5,1,332.4255447530295
313,13,32,5,0,437.0498762229233
299,7,30,0,1,335.3089137001176
344,1,23,6,1,289.5415950278681
391,3,32,5,0,250.8877773185233
117,4,36,3,1,251.46148797088216
217,4,16,2,1,229.13954218590243
489,5,35,3,1,426.2969477793066
414,14,18,4,0,431.7411453963366
259,3,26,3,1,267.0457983767465
163,3,21,6,0,161.0217170788958
116,1,29,1,0,107.12091555909534
220,7,21,5,0,232.84667294196132
143,11,36,6,1,313.992991268354
206,10,35,5,1,360.6047919159366
345,14,31,1,1,461.78736768276804
483,1,30,5,1,313.6981248858033
368,2,33,3,0,287.3859902807542
278,13,23,4,0,336.5454095359467
167,4,28,0,1,256.0814419398819
271,13,31,1,1,462.22821152546504
462,4,19,3,0,302.7515264894652
439,5,16,6,1,377.5490126322809
422,11,34,3,1,480.98196004811007
365,2,30,3,1,292.4992264690144
470,4,28,0,1,371.9325515874032
166,1,28,2,1,197.08956625820215
167,2,15,5,1,172.70098404793083
371,1,17,5,0,182.6158168538631
218,10,21,6,0,342.46028806007047
327,10,29,4,0,380.1634837196961
436,13,33,6,0,477.9597843836591
443,4,34,2,1,365.1315352063031
147,4,16,5,1,191.7207899266714
58,7,33,4,0,225.38374517702383
357,10,23,6,0,379.73236869092403
379,11,33,4,0,428.0074924889601
148,11,19,3,0,252.01658760706218
286,9,32,1,0,335.00739447546556
495,9,30,3,1,473.521030134867
460,5,18,0,1,384.93132686915084
492,10,26,5,0,439.68367580242693
453,1,21,4,0,302.05737530950427
170,1,28,6,1,163.11293583309117
434,6,37,1,1,412.39072646173923
497,2,26,6,1,358.5477024220309
317,8,17,5,0,282.1894707722882
118,13,19,4,1,321.0458368664821
282,9,31,4,0,326.3479095886772
271,13,24,3,0,406.77549454985854
163,4,24,1,1,211.29487928157826
365,5,25,1,1,344.5174106918543
131,11,31,5,1,297.8791603436932
79,8,19,4,0,202.23137786826447
388,3,27,1,1,314.699073827809
21,5,24,1,1,147.97447032064048
404,3,23,6,0,349.67784463874887
323,12,31,5,1,426.4310194250026
273,10,15,3,1,342.2610214135212
159,3,18,6,0,178.53986905500275
472,3,18,6,0,301.6314663694799
56,13,32,2,0,295.0654455482174
179,12,23,0,0,325.70640824888363
28,7,39,2,0,201.89400852923416
252,7,32,1,1,370.9267863185872
118,7,28,4,1,233.91461900942662
166,10,39,0,0,341.7520120314796
323,8,29,0,1,378.9428080485113
227,5,20,4,1,276.6889922637987
150,5,38,0,0,232.82468743366854
423,14,24,4,0,507.0655470348837
171,4,29,0,0,197.09844153455742
73,7,18,6,1,217.44440476886737
139,10,32,5,0,309.60945881141356
180,4,32,5,1,232.82314605857482
427,2,39,2,1,371.50873354593386
135,4,31,6,1,219.1272348881132
94,13,26,0,1,299.30232745331244
132,13,21,3,0,273.9682084290023
475,8,30,4,1,445.6836033324923
439,9,25,6,0,424.31770243208695
441,3,28,0,1,309.92060870064967
123,7,17,5,0,204.50900078257692
359,14,33,5,0,473.34754269769815
273,12,32,4,0,354.94100229357605
246,14,24,3,1,398.32066748739993
131,9,20,0,1,281.947338831553
492,11,27,0,1,511.97075894683974
118,4,24,3,0,199.08196444398072
172,10,32,3,1,318.2731839739988
368,3,34,3,1,310.6884629112364
421,5,30,5,1,408.5537092936389
403,1,39,4,0,279.40116267640497
385,3,39,6,1,355.6457101520128
357,8,20,3,1,412.1622971286425
213,11,27,4,0,340.55417387212367
329,8,18,2,0,336.16540433873456
182,13,37,0,0,385.5613220953086
227,4,28,0,0,239.99735155770617
464,2,15,1,0,307.7614080320592
188,13,34,2,0,350.1482077172541
180,8,19,6,1,301.1992493368282
87,8,22,3,1,245.76963231759123
308,10,26,3,0,326.4386181881492
417,4,16,6,1,335.3588782470163
296,3,26,5,0,201.6070383563089
323,2,19,2,1,273.7782593131772
423,9,36,3,0,413.82896912847235
403,1,19,1,0,292.61105334287464
411,7,27,4,1,404.29262529380304
154,5,23,0,1,246.48363182047868
214,8,24,2,1,284.01553499905964
420,4,15,0,1,343.69149450071694
147,7,17,4,1,229.68683954794474
52,13,32,2,1,336.81035349485336
195,5,26,4,1,232.13295547999036
479,14,17,3,1,515.6961470571387
462,5,39,6,0,360.84235136166825
390,14,23,3,1,483.51619906970586
489,9,16,6,1,481.9497381200116
394,9,17,3,0,380.42536160513055
41,13,28,4,0,270.84742996181285
257,9,18,4,0,250.25681753229907
177,12,39,4,0,335.7862576371287
57,6,33,0,1,223.9930729151469
249,6,27,4,1,288.2828464879523
384,5,21,3,0,337.5430049592688
70,9,26,1,0,223.43076324901207
457,10,17,4,1,464.07190232223746
283,8,37,1,1,369.5980171595425
302,7,37,6,1,354.480357137865
46,7,23,3,1,194.57346992859215
245,6,16,4,0,224.2569192335544
296,5,36,0,1,346.932263669241
305,13,23,0,0,384.939761358916
116,4,26,6,0,180.44593683233182
303,3,26,1,0,237.98510033463907
386,3,29,5,1,304.3394219081536
467,6,16,0,0,366.6028162125114
472,4,32,0,1,375.06592207438206
336,12,27,0,0,393.9902551026573
323,12,28,3,1,402.5262302914282
166,6,19,0,0,201.13753496841062
23,3,24,2,0,104.98214336575789
54,4,26,4,1,163.2501803975094
211,9,24,6,1,334.8645323291923
68,5,38,0,0,187.91041486131024
36,13,25,5,0,324.7462762222469
191,7,39,5,1,316.9850117533771
239,10,16,0,0,266.7902492966471
177,2,19,0,1,182.2423516817871
496,14,21,2,1,527.4750370450082
65,14,20,0,0,270.2273752323943
392,5,36,0,1,374.45221668472436
25,9,37,4,0,208.6320587559925
118,11,17,5,1,294.6563959788639
399,3,27,2,1,290.3262457445835
252,14,17,5,0,392.8831694358383
56,9,39,2,1,239.4341924769918
299,14,38,5,0,430.2288889596693
368,11,35,0,1,434.34586421805653
321,6,20,5,1,326.61840142094826
200,4,25,5,1,236.3351777852934
114,7,31,2,1,259.0330133135928
118,8,24,6,0,249.22384822908555
207,6,26,1,1,290.8723087533392
135,5,31,2,1,235.22614683483118
210,6,18,2,1,270.19015533277326
272,5,16,2,0,282.20015037631185
488,8,25,3,0,430.0847658936535
435,1,21,6,0,268.62924131425564
490,11,16,3,0,467.5572867478026
180,7,32,3,1,296.82620641638886
275,10,35,2,1,368.2445029746587
342,10,18,1,1,383.3855541963644
147,11,22,2,0,253.05485273034054
37,2,34,0,0,70.79959792135877
300,14,28,1,1,427.01919417568865
242,9,26,3,1,340.45162137360944
73,1,36,5,1,156.01017748964375
77,11,35,5,0,245.26848629749873
342,10,32,6,1,367.42476145482595
379,6,25,4,1,388.9152494864143
193,9,22,6,0,277.4058623832047
299,1,16,1,0,227.61423955832498
133,4,39,3,1,264.47182193671404
307,4,29,1,0,286.1941933514599
450,9,23,1,1,437.1828716338359
361,11,33,5,1,433.54698371609123
170,5,34,2,1,272.37193046500073
469,5,22,0,1,380.30284268328523
146,6,39,4,0,229.20761474879026
174,1,33,3,0,126.04190631422271
405,1,19,1,0,253.83789383166788
493,9,25,4,1,483.43341774992257
292,3,29,1,1,304.186331597901
123,4,22,5,1,196.5655742112974
436,1,33,0,0,281.2257929878655
412,9,37,5,0,433.054877110376
318,8,22,4,1,352.6926910470652
265,2,33,3,0,221.18649330546782
195,8,32,1,0,252.38170161068388
58,7,24,0,0,224.0752295389159
496,11,21,5,0,469.76796898121074
189,6,23,4,1,277.42497017145
266,1,15,5,0,160.7438147278379
45,7,33,1,1,225.09499334976996
374,10,19,1,0,373.37012268081014
325,7,33,3,1,379.14189222039124
428,13,15,0,1,496.1943691228961
427,14,29,2,0,452.8156880528606
32,9,30,5,1,219.5064480403379
335,1,37,1,1,299.4147570075581
410,2,21,4,0,266.8394128111511
332,11,26,5,1,429.29748235749537
55,9,22,3,0,199.0388131123598
192,13,19,3,1,334.0245073865001
39,9,24,1,0,167.31301022432743
340,13,35,1,0,444.6825584007846
283,6,19,1,0,279.67301087094836
419,6,31,6,0,380.9043148454243
161,4,19,2,0,185.05747212620918
479,4,36,1,1,326.3512935748163
390,5,29,5,1,368.0686821569382
490,3,27,5,0,314.8508507098288
162,1,15,6,1,118.64564003680637
111,1,25,6,1,110.73690762157008
373,12,37,0,1,428.89624054716256
341,13,15,4,0,401.079562038313
307,7,25,1,0,293.8763151817192
234,1,32,5,1,195.6178941751487
466,1,32,6,0,312.4616511140481
361,3,35,5,0,273.38133550840087
70,10,30,5,1,294.62141847757425
172,4,27,6,0,229.00438747667417
205,4,21,2,0,200.14795528441374
82,2,15,6,0,128.54548773016936
209,1,30,6,0,207.01181521304815
144,3,15,4,0,148.69215487425888
169,11,31,6,1,376.16906933209606
333,4,20,3,0,254.06675989904966
77,3,16,6,0,76.39489681816856
361,8,31,5,1,361.412438417528
324,14,20,1,1,428.6463069061356
199,10,28,5,0,316.18604099460333
189,1,32,4,1,180.40354264547435
345,14,20,3,0,408.9839829314301
290,2,24,6,1,228.01047022916197
73,13,38,2,0,294.44196029643103
463,7,32,0,1,457.3541887788819
120,4,23,6,0,173.15151781658602
283,8,22,1,1,323.96021466815665
72,11,24,0,0,273.4094224637345
79,13,31,2,0,297.01330475995155
127,3,37,4,0,185.17311002112493
24,6,20,4,1,194.85550533335103
122,9,28,2,1,275.1475774030457
215,1,36,5,0,212.82480925939865
281,1,36,2,0,244.3985728353117
384,8,20,6,0,349.0891005272046
499,3,21,1,0,308.57613367908226
391,5,26,3,1,352.75383528225416
369,1,17,6,1,286.24506493283366
66,5,28,6,1,210.39536138950976
374,11,36,6,0,458.20500782234626
330,6,33,0,0,311.19199586853676
443,8,37,0,1,461.08600945464474
327,13,30,4,1,428.3742449232411
163,14,21,6,1,367.53167921280726
288,3,22,5,1,285.10824810429966
389,3,32,4,0,321.62849174802085
143,12,39,1,0,331.56146083848176
125,11,27,2,0,276.1389567487742
177,11,35,0,1,333.6033801726145
166,10,23,6,0,274.48453454568397
164,9,24,1,1,268.7959231692254
139,4,35,4,1,222.63611903471158
338,4,37,4,1,296.8755356932021
294,12,23,0,1,376.6266554394268
111,7,29,4,1,265.5561180111355
77,2,34,5,0,151.32788183003976
458,8,16,4,0,375.22304322536064
365,6,39,3,0,351.79537579239263
248,3,27,2,1,256.9779134469835
493,9,16,4,0,422.70656780022364
136,5,33,3,1,246.06633414503386
337,8,16,1,0,293.76448243449505
298,7,17,4,1,269.13832756302094
146,14,20,5,1,332.66222901741776
412,8,17,1,0,356.9133924824058
415,7,24,6,1,409.70367338748696
148,3,38,4,0,199.68719381457964
77,2,20,0,0,119.18753125680095
141,7,37,3,0,231.56236757131256
20,3,30,3,1,143.58542200957984
258,3,31,0,1,267.30969718914423
309,2,33,2,1,265.386463225422
115,4,17,6,1,160.10880188245358
145,8,32,5,0,251.96644445807925
137,12,21,3,1,333.72472696229715
67,1,23,1,0,76.40097022173713
108,1,34,5,0,132.83614534438524
256,12,26,3,1,417.09979268683213
392,14,19,6,1,463.6131737823774
404,5,17,2,0,311.1456597410084
291,11,25,6,1,388.38583838048623
208,5,39,1,0,253.24416743687723
211,11,18,6,1,369.8695632866802
466,12,19,5,1,487.1150661806812
88,1,15,1,0,57.59635800525285
297,6,32,0,0,333.0683969314618
368,1,26,4,0,256.49626922394975
266,5,27,0,1,284.5285127269406
470,9,23,5,1,472.9888501127765
95,12,16,4,1,273.9262007374988
173,14,19,0,0,368.8140018576121
163,5,27,4,0,212.3660528513512
454,6,30,3,1,427.1111769401236
105,8,30,6,0,293.850042231733
204,11,38,1,1,376.60183077622173
304,1,17,4,0,199.06336199919653
481,14,36,3,1,531.1594079081184
239,2,18,6,1,213.0885908646157
88,9,25,6,1,238.27656449465337
66,3,37,2,0,148.26063141064114
113,6,28,0,0,260.3936826094667
257,5,17,2,1,269.8919590914972
465,11,30,5,1,476.42624968151796
472,2,36,3,1,363.80563846354335
223,14,29,2,1,401.2625720151373
419,7,24,2,1,413.4680374628325
237,4,23,6,1,252.69550804199682
493,1,25,3,0,343.6777618682628
451,13,30,6,0,474.17801431897897
360,4,24,1,0,282.96841445946205
58,6,31,4,0,163.06431228555172
119,7,33,5,1,252.83236195477463
308,7,16,5,1,286.32859543157093
273,14,38,0,1,409.9037963228027
241,7,37,6,0,311.99346707397893
376,3,16,4,0,230.09118740158127
42,6,20,0,1,189.1193099836604
269,13,33,5,0,385.4900630031043
29,8,22,4,0,197.29057944326837
265,4,17,2,1,222.0319115857228
344,13,28,1,1,464.9650162736273
119,8,39,2,1,294.13199908558124
309,2,30,1,0,251.75032450563535
199,10,15,6,1,331.97797733782676
242,9,35,3,1,357.4057413417827
413,9,17,0,1,356.54322233201566
269,8,36,0,0,335.48216181380775
166,10,32,3,0,303.393452251521
461,14,23,4,1,511.60749833917447
115,13,20,3,1,305.6645418464225
276,10,37,6,0,354.78161354013434
344,1,35,5,0,286.16119553298205
23,2,39,3,1,131.101843108522
35,6,15,1,0,102.69177051887897
299,10,35,5,1,370.1347462607591
355,5,24,3,1,329.7940816562264
266,12,20,0,0,386.4170105888732
277,14,37,2,1,496.59701444156303
495,9,26,1,1,477.5046301889909
403,5,18,6,0,292.8750810279866
179,2,27,1,1,185.99816489249957
494,10,31,4,0,476.5167465753141
359,4,22,2,1,340.13270859935676
171,9,34,1,1,305.6600601109333
415,1,17,3,0,284.98900989814547
197,11,26,1,0,310.9087965399256
182,1,21,1,0,162.2856795220275
399,12,26,1,0,454.40933973118683
52,7,16,4,0,133.36464302052835
436,11,38,1,0,468.02877533066953
464,3,28,1,1,391.5728508802911
198,10,36,4,0,309.78669959278676
446,2,37,5,1,335.8683712884553
120,9,19,2,0,242.89570870660197
287,3,23,6,1,267.16886558087964
342,2,35,5,1,294.4539193745124
84,12,25,0,0,271.9557458008049
436,8,19,4,1,372.59411988488296
187,10,17,4,1,315.5895064570108
349,6,31,1,1,388.35195710680705
62,6,16,1,0,138.70648420431857
63,10,38,6,0,240.93166139099378
304,11,15,0,1,380.45123487981766
416,7,21,1,0,411.9175490057801
31,7,28,3,0,198.49766547106938
114,11,19,1,1,288.116504305414
321,13,33,1,1,452.29197636104277
405,6,25,3,0,366.476937512335
272,4,37,0,0,251.8124950494184
261,11,39,3,0,385.7348521332881
54,9,16,4,1,201.65089982211623
234,6,22,3,0,269.49829338437087
356,4,23,2,0,278.1209121557157
109,12,17,4,0,272.5138825048585
283,3,16,1,1,241.32247830263734
112,4,21,6,1,201.9737341870663
429,3,19,4,1,324.00636166821005
477,2,35,0,0,381.6594337205652
109,14,19,0,0,330.87735179604425
437,5,34,3,1,365.4142267539451
134,2,27,4,0,154.8291227229987
124,6,35,1,0,236.703104639785
410,3,34,0,0,308.8368134281357
215,6,20,5,1,291.74953407924016
333,11,34,1,0,421.39301631820547
133,10,32,5,0,278.82874893614274
94,9,39,2,1,309.62431768146763
432,1,16,5,0,214.7867461018372
395,6,39,0,1,422.6517641855369
439,9,20,3,0,412.2301760415105
236,11,23,2,1,337.24644610537484
296,4,39,4,1,321.0376072018571
268,11,17,1,0,292.4743297726552
183,12,15,0,0,286.2315273428754
413,2,15,2,1,318.41278676164825
376,13,33,2,0,448.743276831897
476,4,19,0,1,364.635940549529
427,1,27,4,0,283.40452381293113
211,3,33,4,0,215.0714070752499
246,10,26,3,0,344.74979433937455
196,9,30,6,0,280.6202077110427
118,10,39,5,1,325.3869214732269
55,5,39,4,1,187.60764670246812
485,11,33,3,0,488.3219845653342
115,6,17,5,0,175.07257796295616
171,3,26,2,0,181.6802493431077
170,5,19,0,0,190.75658122283096
209,11,16,4,0,296.786931989696
243,8,36,3,1,323.4054754470909
56,6,21,2,1,196.58500124318667
287,4,27,4,0,268.5932819473765
388,2,39,1,1,305.38719692307956
202,14,29,6,1,387.07200188040383
32,9,36,2,0,223.60027685233248
298,13,17,4,1,396.02703723601326
236,12,35,2,1,393.5435677162655
374,1,34,0,1,332.3220348098003
380,1,19,0,1,252.63674429081817
305,13,38,6,0,377.2562599412341
292,4,22,0,1,268.0252037538737
388,7,36,5,1,394.43680630040615
81,1,15,1,1,105.70020102237436
103,9,22,0,0,235.87622394364084
387,4,38,1,1,338.93836480313655
236,3,32,0,1,233.4943976680749
361,1,34,5,1,280.01025651238456
416,10,30,2,0,404.9230252704168
206,4,32,4,0,269.4168189589824
38,9,34,4,0,253.04895095856625
196,13,26,0,0,311.6094610141046
119,14,27,4,0,284.9038217421787
415,10,27,0,1,439.7849410475907
464,6,24,0,0,408.23190024008716
252,6,21,6,1,301.32179483652976
422,1,39,3,0,303.3422860159441
95,10,28,3,0,244.3785145457674
284,2,38,6,0,269.5432495288161
474,11,30,3,1,495.5597875920661
303,6,29,1,1,364.13516766360704
225,2,26,3,1,190.7459027514837
242,3,23,0,0,220.47291577066375
403,4,22,5,0,294.23404664908236
71,11,32,5,0,272.78550435027205
358,5,37,2,0,333.01712503192795
386,9,32,3,0,402.19332418000045
163,12,27,5,0,335.0516429355238
392,4,32,3,1,377.79585159523657
88,13,29,2,1,366.0344634080723
118,11,18,5,0,260.31588602114743
415,9,31,0,1,423.6530005277937
44,11,19,1,1,230.48356462636553
455,10,36,6,1,488.1977268072717
398,3,30,6,0,320.69834694853506
488,8,23,6,0,383.03104501937787
72,12,24,3,0,286.8932996849748
170,1,38,5,0,173.97299379232376
163,11,32,5,1,315.38366431515345
76,9,31,2,0,218.03425611010704
