date,category,amount
2025-03-09,Operations,18338.21
2025-03-10,Operations,16079.93
2025-03-11,Operations,14804.55
2025-03-12,Operations,14164.6
2025-03-13,Operations,16170.34
2025-03-14,Operations,5566.39
2025-03-15,Operations,13052.18
2025-03-16,Operations,16755.84
2025-03-17,Operations,12268.82
2025-03-18,Operations,9033.12
2025-03-19,Operations,13429.63
2025-03-20,Operations,16614.0
2025-03-21,Operations,16194.59
2025-03-22,Operations,5314.91
2025-03-23,Operations,11964.99
2025-03-24,Operations,5975.59
2025-03-25,Operations,11856.81
2025-03-26,Operations,6564.17
2025-03-27,Operations,13837.1
2025-03-28,Operations,19970.31
2025-03-29,Operations,7876.99
2025-03-30,Operations,13049.31
2025-03-31,Operations,18872.32
2025-04-01,Operations,13351.84
2025-04-02,Operations,10506.94
2025-04-03,Operations,18585.27
2025-04-04,Operations,8585.26
2025-04-05,Operations,5169.04
2025-04-06,Operations,8492.82
2025-04-07,Operations,10125.11
2025-04-08,Operations,15894.7
2025-04-09,Operations,15396.98
2025-04-10,Operations,12137.47
2025-04-11,Operations,14799.73
2025-04-12,Operations,14376.42
2025-04-13,Operations,19634.58
2025-04-14,Operations,18021.85
2025-04-15,Operations,11587.71
2025-04-16,Operations,10220.78
2025-04-17,Operations,16027.65
2025-04-18,Operations,10706.49
2025-04-19,Operations,13771.69
2025-04-20,Operations,7465.38
2025-04-21,Operations,11967.1
2025-04-22,Operations,9866.19
2025-04-23,Operations,5285.58
2025-04-24,Operations,15731.94
2025-04-25,Operations,8596.51
2025-04-26,Operations,17249.14
2025-04-27,Operations,14497.07
2025-04-28,Operations,8429.32
2025-04-29,Operations,8344.36
2025-04-30,Operations,10684.55
2025-05-01,Operations,5795.66
2025-05-02,Operations,6480.12
2025-05-03,Operations,10125.8
2025-05-04,Operations,9410.45
2025-05-05,Operations,17578.38
2025-05-06,Operations,10977.39
2025-05-07,Operations,18319.72
2025-05-08,Operations,19120.11
2025-05-09,Operations,6789.68
2025-05-10,Operations,16126.64
2025-05-11,Operations,6973.0
2025-05-12,Operations,11720.69
2025-05-13,Operations,8596.22
2025-05-14,Operations,14796.69
2025-05-15,Operations,14196.14
2025-05-16,Operations,8846.19
2025-05-17,Operations,8865.45
2025-05-18,Operations,15852.74
2025-05-19,Operations,9782.95
2025-05-20,Operations,18278.69
2025-05-21,Operations,13111.51
2025-05-22,Operations,14569.02
2025-05-23,Operations,12707.56
2025-05-24,Operations,17652.15
2025-05-25,Operations,10578.96
2025-05-26,Operations,12421.72
2025-05-27,Operations,9048.78
2025-05-28,Operations,18261.64
2025-05-29,Operations,7535.95
2025-05-30,Operations,14066.74
2025-05-31,Operations,17893.45
2025-06-01,Operations,11320.34
2025-06-02,Operations,5772.63
2025-06-03,Operations,19599.3
2025-06-04,Operations,19171.26
2025-06-05,Operations,13696.13
2025-06-06,Operations,7101.14
2025-06-07,Operations,6426.32
2025-06-08,Operations,16785.84
2025-06-09,Operations,19411.06
2025-06-10,Operations,18241.89
2025-06-11,Operations,12963.86
2025-06-12,Operations,10351.18
2025-06-13,Operations,16022.62
2025-06-14,Operations,19978.08
2025-06-15,Operations,17916.28
2025-06-16,Operations,16837.9
2025-06-17,Operations,18739.46
2025-06-18,Operations,18794.12
2025-06-19,Operations,7110.84
2025-06-20,Operations,13070.61
2025-06-21,Operations,10959.0
2025-06-22,Operations,19004.75
2025-06-23,Operations,18976.57
2025-06-24,Operations,10189.89
2025-06-25,Operations,15595.58
2025-06-26,Operations,19276.02
2025-06-27,Operations,10578.35
2025-06-28,Operations,12494.98
2025-06-29,Operations,6274.01
2025-06-30,Operations,13400.86
2025-07-01,Operations,13860.15
2025-07-02,Operations,13057.3
2025-07-03,Operations,10228.83
2025-07-04,Operations,19204.28
2025-07-05,Operations,8725.8
2025-07-06,Operations,8044.55
2025-07-07,Operations,17347.66
2025-07-08,Operations,14674.8
2025-07-09,Operations,9825.47
2025-07-10,Operations,17354.28
2025-07-11,Operations,13502.91
2025-07-12,Operations,5767.27
2025-07-13,Operations,17732.92
2025-07-14,Operations,9151.58
2025-07-15,Operations,13124.81
2025-07-16,Operations,19308.73
2025-07-17,Operations,15407.03
2025-07-18,Operations,13686.76
2025-07-19,Operations,11597.39
2025-07-20,Operations,19380.88
2025-07-21,Operations,11876.73
2025-07-22,Operations,7400.28
2025-07-23,Operations,8032.21
2025-07-24,Operations,16917.21
2025-07-25,Operations,9964.04
2025-07-26,Operations,5293.15
2025-07-27,Operations,7673.15
2025-07-28,Operations,11757.83
2025-07-29,Operations,17403.65
2025-07-30,Operations,10083.6
2025-07-31,Operations,18123.01
2025-08-01,Operations,7470.6
2025-08-02,Operations,12272.0
2025-08-03,Operations,17258.59
2025-08-04,Operations,6216.69
2025-08-05,Operations,6060.2
2025-08-06,Operations,19991.83
2025-08-07,Operations,13066.34
2025-08-08,Operations,13387.56
2025-08-09,Operations,12857.19
2025-08-10,Operations,14586.45
2025-08-11,Operations,19108.29
2025-08-12,Operations,11482.0
2025-08-13,Operations,5892.2
2025-08-14,Operations,6433.24
2025-08-15,Operations,9170.69
2025-08-16,Operations,13658.4
2025-08-17,Operations,5972.81
2025-08-18,Operations,9232.4
2025-08-19,Operations,14160.04
2025-08-20,Operations,19961.44
2025-08-21,Operations,18491.76
2025-08-22,Operations,12203.01
2025-08-23,Operations,6556.37
2025-08-24,Operations,18102.42
2025-08-25,Operations,6491.56
2025-08-26,Operations,17800.41
2025-08-27,Operations,8189.36
2025-08-28,Operations,7104.15
2025-08-29,Operations,18430.86
2025-08-30,Operations,5770.76
2025-08-31,Operations,17419.75
2025-09-01,Operations,18935.56
2025-09-02,Operations,17792.58
2025-09-03,Operations,5221.03
2025-09-04,Operations,14352.61
2025-09-05,Operations,5463.6
2025-09-06,Operations,7282.36
2025-09-07,Operations,10641.12
2025-09-08,Operations,13600.27
2025-09-09,Operations,6833.18
2025-09-10,Operations,18596.67
2025-09-11,Operations,6477.76
2025-09-12,Operations,7941.73
2025-09-13,Operations,16299.75
2025-09-14,Operations,10609.76
2025-09-15,Operations,5415.66
2025-09-16,Operations,6115.39
2025-09-17,Operations,6976.96
2025-09-18,Operations,5055.47
2025-09-19,Operations,12495.77
2025-09-20,Operations,16672.92
2025-09-21,Operations,10432.35
2025-09-22,Operations,14863.03
2025-09-23,Operations,7825.33
2025-09-24,Operations,19541.19
2025-09-25,Operations,16899.53
2025-09-26,Operations,10772.32
2025-09-27,Operations,14440.27
2025-09-28,Operations,10729.15
2025-09-29,Operations,11700.0
2025-09-30,Operations,6926.46
2025-10-01,Operations,9873.17
2025-10-02,Operations,11812.93
2025-10-03,Operations,5191.26
2025-10-04,Operations,13703.82
2025-10-05,Operations,10591.94
2025-10-06,Operations,12836.97
2025-10-07,Operations,10350.85
2025-10-08,Operations,18372.98
2025-10-09,Operations,8621.85
2025-10-10,Operations,5846.46
2025-10-11,Operations,19519.39
2025-10-12,Operations,19591.4
2025-10-13,Operations,5142.98
2025-10-14,Operations,8154.15
2025-10-15,Operations,7185.19
2025-10-16,Operations,12620.02
2025-10-17,Operations,10759.88
2025-10-18,Operations,7544.77
2025-10-19,Operations,6764.29
2025-10-20,Operations,6584.69
2025-10-21,Operations,15986.19
2025-10-22,Operations,16331.43
2025-10-23,Operations,6478.13
2025-10-24,Operations,8707.92
2025-10-25,Operations,17000.82
2025-10-26,Operations,8874.72
2025-10-27,Operations,16007.45
2025-10-28,Operations,13145.42
2025-10-29,Operations,7936.64
2025-10-30,Operations,12041.28
2025-10-31,Operations,5344.35
2025-11-01,Operations,18664.24
2025-11-02,Operations,5006.56
2025-11-03,Operations,18046.71
2025-11-04,Operations,14636.6
2025-11-05,Operations,7703.29
2025-11-06,Operations,13613.99
2025-11-07,Operations,8428.19
2025-11-08,Operations,16853.4
2025-11-09,Operations,13385.66
2025-11-10,Operations,5503.7
2025-11-11,Operations,14647.45
2025-11-12,Operations,13234.67
2025-11-13,Operations,14923.34
2025-11-14,Operations,19558.0
2025-11-15,Operations,10044.44
2025-11-16,Operations,17896.81
2025-11-17,Operations,10559.91
2025-11-18,Operations,19959.99
2025-11-19,Operations,11458.27
2025-11-20,Operations,12307.36
2025-11-21,Operations,12295.41
2025-11-22,Operations,6077.48
2025-11-23,Operations,7583.37
2025-11-24,Operations,8707.36
2025-11-25,Operations,9599.29
2025-11-26,Operations,19638.53
2025-11-27,Operations,11936.79
2025-11-28,Operations,12228.0
2025-11-29,Operations,5157.01
2025-11-30,Operations,5219.02
2025-12-01,Operations,17977.87
2025-12-02,Operations,12659.76
2025-12-03,Operations,9447.5
2025-12-04,Operations,12526.71
2025-12-05,Operations,5891.93
2025-12-06,Operations,8352.09
2025-12-07,Operations,10313.96
2025-12-08,Operations,7259.7
2025-12-09,Operations,7902.41
2025-12-10,Operations,14400.29
2025-12-11,Operations,11333.36
2025-12-12,Operations,6649.66
2025-12-13,Operations,7235.24
2025-12-14,Operations,6779.4
2025-12-15,Operations,9240.27
2025-12-16,Operations,6563.07
2025-12-17,Operations,15082.48
2025-12-18,Operations,17322.04
2025-12-19,Operations,14553.14
2025-12-20,Operations,5569.46
2025-12-21,Operations,6639.47
2025-12-22,Operations,14039.98
2025-12-23,Operations,8485.82
2025-12-24,Operations,15359.81
2025-12-25,Operations,13146.17
2025-12-26,Operations,19703.08
2025-12-27,Operations,13625.86
2025-12-28,Operations,5792.44
2025-12-29,Operations,5837.21
2025-12-30,Operations,10214.48
2025-12-31,Operations,18681.98
